name,type,location,address,distance,rating,business_area
bistro by Chef luo,餐饮服务;外国餐厅;法式菜品餐厅,"114.293052,30.585882",辅义里一栋三楼,302,3.9,江滩
鹏记热干面生烫(金业里小区店),餐饮服务;中餐厅;中餐厅,"114.289942,30.584239",金业里小区东南门旁(循礼门地铁站H口步行320米),302,4,大智路
一碗·螺蛳粉(泰宁社区南区店),餐饮服务;中餐厅;中餐厅,"114.287715,30.585203",保成路73号(循礼门地铁站H口旁),303,4.3,前进
藕渔·新楚菜·老武汉藕汤(江汉路吉庆街店),餐饮服务;中餐厅;中餐厅,"114.292922,30.585619",江汉二路177-179号吉庆民俗街二期一栋一层一室,304,4.5,大智路
mygirl卤味炸鸡,餐饮服务;快餐厅;快餐厅,"114.289509,30.589633",安静社区(黄石路),304,3.6,大智路
水哥地道菜烧烤(景福小区店),餐饮服务;中餐厅;中餐厅,"114.293015,30.588176",铭新路132号,306,3.7,大智路
陈记鲜鱼糊汤粉(解放南路店),餐饮服务;中餐厅;中餐厅,"114.289474,30.589645",安静社区西北门东南60米,306,4.4,大智路
涛涛烧烤(安静社区店),餐饮服务;中餐厅;特色/地方风味餐厅,"114.289539,30.589658",安静社区西北门东南60米,306,3.5,大智路
泡蛋苕粉(吉庆街店),餐饮服务;快餐厅;快餐厅,"114.292440,30.585018",江汉二路150号附4号,307,4.5,大智路
安庆原汤水饺(渣家路),餐饮服务;快餐厅;快餐厅,"114.289486,30.589656",西马街办事处循礼门渣家路132号,307,3.8,大智路
口品糕坊,餐饮服务;糕饼店;糕饼店,"114.288216,30.584744",大智街道保成路8号楼1、2层-3泰宁街,307,2.6,江滩
鑫小城故事(江汉路店),餐饮服务;中餐厅;湖北菜(鄂菜),"114.287496,30.585388",保成路与京汉街交叉口西20米(循礼门地铁站H口旁),308,4.8,前进
黑龙江饺子馆(吉庆街店),餐饮服务;中餐厅;东北菜|餐饮服务;中餐厅;特色/地方风味餐厅,"114.289878,30.584180",金业里小区东南门旁(循礼门地铁站H口步行440米),309,4.1,江滩
鳗一烤肉·炭烤活鳗(南京路店),餐饮服务;餐饮相关场所;餐饮相关,"114.290761,30.584219",南京路101号建华大厦1层03号,309,3.9,江滩
大连火爆鱿鱼(Markmall店),餐饮服务;餐饮相关场所;餐饮相关,"114.287407,30.585453",京汉大道江汉路206号一层二室wz一C一07,311,3.9,大智路
德华楼(吉庆民俗街店),餐饮服务;中餐厅;中餐厅,"114.293082,30.585742",江汉二路177号179号吉庆民俗街二期1栋1-2层,311,4.6,江滩
武汉汇豪大酒店餐厅,餐饮服务;中餐厅;中餐厅,"114.287120,30.585923",江汉路250号武汉汇豪大酒店(循礼门地铁站G口旁),312,4.1,大智路
红茶馆,餐饮服务;茶艺馆;茶艺馆,"114.288566,30.584492",保成路与铭新街交叉口西20米,313,2,前进
爱上汤(江汉二路店),餐饮服务;快餐厅;快餐厅,"114.291657,30.584456",江汉二路149号,313,4.7,江滩
板板牛杂,餐饮服务;中餐厅;中餐厅,"114.287382,30.585454",Markmall(循礼门地铁站H口旁),313,4.7,江滩
大米先生(解放大道店),餐饮服务;餐饮相关场所;餐饮相关,"114.287382,30.585454",循礼门地铁站H口步行50米,313,4.6,大智路
青桔和木鱼新中式糕点甜品(京汉大道循礼门店),餐饮服务;餐饮相关场所;餐饮相关,"114.288155,30.584720",泰宁街18号附6号(循礼门地铁站H口步行110米),313,4,前进
江西煨汤馆(景福小区店),餐饮服务;中餐厅;中餐厅,"114.293112,30.588174",西马街街道渣家左路184号(28中对面),314,3.9,大智路
衿栖家炸鸡汉堡(保成社区北区店),餐饮服务;餐饮相关场所;餐饮相关,"114.290129,30.584123",吉庆街52号附2号(循礼门地铁站H口步行330米),315,3.7,大智路
嗨辣串串,餐饮服务;中餐厅;火锅店,"114.289844,30.584134",鼎新里6号(循礼门地铁站H口步行300米),315,4.4,江滩
吉庆菜馆,餐饮服务;中餐厅;中餐厅,"114.291041,30.584225",大智街保成社区南京路106号附1号,315,3.6,大智路
江旺跳跳蛙火锅馆(福忠里店),餐饮服务;中餐厅;火锅店,"114.291007,30.584186",南京路106号(循礼门地铁站H口步行440米),318,3.9,江滩
鸿鼎旺老东北家乡菜(桔子酒店店),餐饮服务;餐饮相关场所;餐饮相关,"114.288576,30.584429",大智街铭新街13号(循礼门地铁站J口步行360米),318,4.8,江滩
大口和牛烧肉专门店,餐饮服务;餐饮相关场所;餐饮相关,"114.290837,30.584146",南京路101号建华大厦1层03号,319,4.5,江滩
港王港式烧腊牛腩饭(安静社区店),餐饮服务;餐饮相关场所;餐饮相关,"114.290836,30.589771",安静社区东北门旁(大智路地铁站G口步行450米),320,3.6,江滩
品味轩涮羊肉(合兴里小区店),餐饮服务;中餐厅;火锅店,"114.293497,30.586854",吉庆街154号附1号,320,3.7,大智路
刘文祥麻辣烫炸串(泰宁社区南区店),餐饮服务;餐饮相关场所;餐饮相关,"114.288002,30.584741",泰宁街11附5(循礼门地铁站H口步行120米),320,4.7,大智路
三帮辣子鱼家常菜(汇通小区店),餐饮服务;中餐厅;海鲜酒楼,"114.292574,30.584960",江汉二路148号,321,4.3,大智路
花子牛肉粉,餐饮服务;中餐厅;中餐厅,"114.288111,30.584661",泰宁街与保成路交叉口西南20米,321,[],江滩
章鱼哥热狗摊(汇通小区店),餐饮服务;餐饮相关场所;餐饮相关,"114.292636,30.585006",江汉二路150号附6号,322,4,江滩
丽丽家常菜馆(汇通小区店),餐饮服务;中餐厅;中餐厅,"114.292530,30.584909",江汉二路150号附2号,322,4.2,前进
笼上蒸品(金地1903商业街店),餐饮服务;餐饮相关场所;餐饮相关,"114.291347,30.589666",金地·京汉1903西南门旁,323,3.8,江滩
老城味道中式快餐,餐饮服务;快餐厅;快餐厅,"114.288123,30.584627",泰宁街与保成路交叉口西南40米,323,4,大智路
王壹壹米线(保成社区北区店),餐饮服务;中餐厅;中餐厅,"114.289998,30.584033",吉庆街44号附2号,325,3.5,大智路
竖哥麻辣烫(江汉路总店),餐饮服务;中餐厅;中餐厅,"114.290092,30.584027",保安里B栋1层9室(循礼门地铁站H口步行320米),325,3.9,江滩
三镇民生甜食馆(循礼门店),餐饮服务;甜品店;甜品店|餐饮服务;中餐厅;中餐厅,"114.287270,30.585384",京汉大道地铁一号线循礼门地铁站B出口百度烤肉旁(江汉路步行街),326,4.4,大智路
叁牛烤油筋,餐饮服务;餐饮相关场所;餐饮相关,"114.290032,30.584003",保成社区北区西北2门旁(循礼门地铁站H口步行310米),328,3.7,大智路
只有板凳长吉庆街店,餐饮服务;餐饮相关场所;餐饮相关,"114.290003,30.583992",吉庆街4号B栋1层,329,4.4,江滩
原初烧肉专门店(南京路店),餐饮服务;餐饮相关场所;餐饮相关,"114.289997,30.583986",吉庆街44附3号(循礼门地铁站H口步行310米),330,4.1,大智路
